Country;Demonym;
Georgia;Abkhaz;
Georgia;Abkhazian;
Georgia;Abkhazia;
Georgia;Abkhazians;
Afghanistan;Afghan;
Afghanistan;Afghans;
Aland Islands;Åland Island;
Aland Islands;Ålanders;
Aland Islands;Ålanders;
Albania;Albanian;
Albania;Albanians;
Algeria;Algerian;
Algeria;Algerians;
American Samoa;American Samoan;
American Samoa;American Samoans;
Andorra;Andorran;
Andorra;Andorrans;
Angola;Angolan;
Angola;Angolans;
Anguilla;Anguillan;
Anguilla;Anguillans;
Antarctica;Antarctic;
Antarctica;Antarctic residents;
Antarctica;Antarcticans;
Antarctica;Antarcticans;
Antigua and Barbuda;Antiguan;
Antigua and Barbuda;Barbudan;
Antigua and Barbuda;Antiguans;
Antigua and Barbuda;Barbudans;
Argentina;Argentine;
Argentina;Argentinian;
Argentina;Argentines;
Argentina;Argentinians;
Armenia;Armenian;
Armenia;Armenians;
Aruba;Aruban;
Aruba;Arubans;
Australia;Australian;
Australia;Australians;
Austria;Austrian;
Austria;Austrians;
Azerbaijan;Azerbaijani;
Azerbaijan;Azeri;
Azerbaijan;Azerbaijanis;
Azerbaijan;Azeris;
Bahamas;Bahamian;
Bahamas;Bahamians;
Bahrain;Bahraini;
Bahrain;Bahrainis;
Bangladesh;Bangladeshi;
Bangladesh;Bangladeshis;
Barbados;Barbadian;
Barbados;Barbadians;
Belarus;Belarusian;
Belarus;Belarusians;
Belgium;Belgian;
Belgium;Belgians;
Belize;Belizean;
Belize;Belizeans;
Benin;Beninese;
Benin;Beninois;
Bermuda;Bermudian;
Bermuda;Bermudan;
Bermuda;Bermudians;
Bermuda;Bermudans;
Bhutan;Bhutanese;
Bhutan;Bhutanese;
Bolivia;Bolivian;
Bolivia;Bolivians;
Bonaire, Saint Eustatius and Saba ;Bonaire;
Bonaire, Saint Eustatius and Saba ;Bonairean;
Bonaire, Saint Eustatius and Saba ;Bonaire Dutch;
Bosnia and Herzegovina;Bosnian;
Bosnia and Herzegovina;Herzegovinian;
Bosnia and Herzegovina;Bosnians;
Bosnia and Herzegovina;Herzegovinians;
Botswana;Botswana;
Botswana;Batswana;
Botswana;Motswana;
Bouvet Island;Bouvet Island;
Bouvet Island;Bouvet Islanders;
Brazil;Brazilian;
Brazil;Brazilians;
British Indian Ocean Territory;BIOT;
British Indian Ocean Territory;British;
Brunei;Bruneian;
Brunei;Bruneians;
Bulgaria;Bulgarian;
Bulgaria;Bulgarians;
Burkina Faso;Burkinabé;
Burkina Faso;Burkinabè;
Burkina Faso;Burkinabé;
Burundi;Burundian;
Burundi;Burundians;
Burundi;Barundi;
Cabo Verde;Cabo Verdean;
Cabo Verde;Cabo Verdeans;
Cambodia;Cambodian;
Cambodia;Cambodians;
Cameroon;Cameroonian;
Cameroon;Cameroonians;
Canada;Canadian;
Canada;Canadians;
Cayman Islands;Caymanian;
