,abstract_id,country
0,pub.1123469884,['AU']
1,pub.1123469909,"['IM', 'DE']"
2,pub.1123469927,['CN']
3,pub.1123469935,['BR']
4,pub.1123469942,"['PE', 'VN', 'NG']"
5,pub.1123469986,['MX']
6,pub.1123469997,[]
7,pub.1123470003,['PE']
8,pub.1123470024,['SG']
9,pub.1123470040,['LT']
10,pub.1123470071,"['SG', 'IT', 'TR']"
11,pub.1123470080,['NG']
12,pub.1123470101,['CA']
13,pub.1123470109,['CN']
14,pub.1123470111,"['CN', 'LC']"
15,pub.1123470133,[]
16,pub.1123470137,['ID']
17,pub.1123470138,"['HK', 'KR', 'MY', 'IS']"
18,pub.1123470142,['ID']
19,pub.1123470171,['US']
20,pub.1123470186,"['MX', 'US']"
21,pub.1123470306,"['TW', 'US']"
22,pub.1123470310,['CM']
23,pub.1123470338,[]
24,pub.1123470349,['CN']
25,pub.1123470369,['ES']
26,pub.1123470371,['PL']
27,pub.1123470450,['IT']
28,pub.1123470481,"['NE', 'NG']"
29,pub.1123470484,"['DK', 'NO', 'SE', 'DE']"
30,pub.1123470512,['HK']
31,pub.1123470543,['NG']
32,pub.1123470545,[]
33,pub.1123470569,['AU']
34,pub.1123470571,['MY']
35,pub.1123470586,['RU']
36,pub.1123470587,['PT']
37,pub.1123470594,"['FR', 'DE']"
38,pub.1123470666,['CN']
39,pub.1123470668,['US']
40,pub.1123470678,['NG']
41,pub.1123470709,['UA']
42,pub.1123470727,['SI']
43,pub.1123470749,"['NZ', 'ES', 'AU']"
44,pub.1123470760,['IQ']
45,pub.1123470777,['MY']
46,pub.1123470831,['ES']
47,pub.1123470845,['HK']
48,pub.1123470863,"['PE', 'SG']"
49,pub.1123470891,[]
50,pub.1123470896,[]
51,pub.1123470900,"['US', 'CA']"
52,pub.1123470911,"['GT', 'FR']"
53,pub.1123470916,"['PH', 'ID']"
54,pub.1123470922,['NL']
55,pub.1123470944,['CN']
56,pub.1123470995,['SE']
57,pub.1123471006,"['ET', 'SE']"
58,pub.1123471007,['DK']
59,pub.1123471047,"['SI', 'AU']"
60,pub.1123471054,['ID']
61,pub.1123471055,['JP']
62,pub.1123471132,"['IT', 'US']"
63,pub.1123471144,['MZ']
64,pub.1123471145,['VN']
65,pub.1123471158,['US']
66,pub.1123471180,"['MY', 'US']"
67,pub.1123471208,[]
68,pub.1123471209,"['CN', 'US']"
69,pub.1123471235,['ID']
70,pub.1123471253,"['SY', 'LB', 'PS', 'JM']"
71,pub.1123471255,['ZW']
72,pub.1123471265,['BR']
73,pub.1123471281,['RU']
74,pub.1123471295,"['ID', 'JP']"
75,pub.1123471301,['IN']
76,pub.1123471333,['NZ']
77,pub.1123471347,"['CN', 'US']"
78,pub.1123471359,"['CN', 'HR']"
79,pub.1123471369,['NG']
80,pub.1123471415,"['LC', 'IN']"
81,pub.1123471473,['ZA']
82,pub.1123471485,['ID']
83,pub.1123471493,['SJ']
84,pub.1123471500,[]
85,pub.1123471508,['US']
86,pub.1123471538,[]
87,pub.1123471541,"['US', 'AE']"
88,pub.1123471552,[]
89,pub.1123471560,"['HK', 'US', 'GE']"
90,pub.1123471599,['GH']
91,pub.1123471610,['IE']
92,pub.1123471623,['CD']
93,pub.1123471657,[]
94,pub.1123471659,['ID']
95,pub.1123471662,"['AM', 'US', 'KG', 'IT', 'BY', 'KZ']"
96,pub.1123471663,['JP']
97,pub.1123471700,[]
98,pub.1123471709,[]
99,pub.1123471738,"['KE', 'UG']"
100,pub.1123471761,['IS']
101,pub.1123471774,"['GN', 'MT', 'ID']"
102,pub.1123471777,['BR']
103,pub.1123471807,"['ES', 'CL', 'AU']"
104,pub.1123471820,['IR']
105,pub.1123471871,['PK']
106,pub.1123471910,['NG']
107,pub.1123471923,['AU']
108,pub.1123471965,"['US', 'CA']"
109,pub.1123471995,['US']
110,pub.1123472040,['NG']
111,pub.1123472047,['GB']
112,pub.1123472048,['TH']
113,pub.1123472112,"['CD', 'IT', 'MM', 'NG']"
114,pub.1123472119,['DK']
115,pub.1123472120,['AU']
116,pub.1123472135,['RU']
117,pub.1123472167,"['NL', 'PE']"
118,pub.1123472193,['BR']
119,pub.1123472200,['US']
120,pub.1123472253,"['NL', 'GB', 'US', 'LY', 'DK', 'ZM', 'PK', 'JP', 'CI', 'IS', 'CN', 'HT', 'CL', 'IN']"
121,pub.1123472268,['FI']
122,pub.1123472271,['PK']
123,pub.1123472294,['AU']
124,pub.1123472297,"['PR', 'US']"
125,pub.1123472307,['PK']
126,pub.1123472403,['ID']
127,pub.1123472448,['NG']
128,pub.1123472468,['CL']
129,pub.1123472470,['US']
130,pub.1123472494,['NO']
131,pub.1123472508,"['SY', 'DE']"
132,pub.1123472515,"['MX', 'US']"
133,pub.1123472522,['MG']
134,pub.1123472529,['IE']
135,pub.1123472533,['IL']
136,pub.1123472564,['CN']
137,pub.1123472584,['ZA']
138,pub.1123472650,['FJ']
139,pub.1123472663,[]
140,pub.1123472684,['CM']
141,pub.1123472703,['UG']
142,pub.1123472717,['MX']
143,pub.1123472733,['AU']
144,pub.1123472739,"['ET', 'NO']"
145,pub.1123472744,"['DO', 'CL']"
146,pub.1123472751,['DK']
147,pub.1123472763,"['CM', 'RU']"
148,pub.1123472791,[]
149,pub.1123472802,[]
150,pub.1123472807,['NG']
151,pub.1123472820,"['CN', 'LC']"
152,pub.1123472856,"['RU', 'US']"
153,pub.1123472869,"['NG', 'TR']"
154,pub.1123472909,[]
155,pub.1123472940,"['GB', 'NL', 'US', 'DE', 'BG', 'CL', 'JM']"
156,pub.1123472944,"['CN', 'LC']"
157,pub.1123472945,['KR']
158,pub.1123472964,[]
159,pub.1123473005,['NO']
160,pub.1123473012,"['ET', 'US']"
161,pub.1123473013,['GR']
162,pub.1123473025,"['CN', 'IM', 'AU']"
163,pub.1123473045,['FI']
164,pub.1123473052,['ID']
165,pub.1123473084,[]
166,pub.1123473103,['ID']
167,pub.1123473111,[]
168,pub.1123473124,['AU']
169,pub.1123473134,['US']
170,pub.1123473142,['TW']
171,pub.1123473147,"['ES', 'US']"
172,pub.1123473157,['US']
173,pub.1123473163,"['MA', 'HK', 'IT', 'US']"
174,pub.1123473177,['NG']
175,pub.1123473208,['ID']
176,pub.1123473240,['AQ']
177,pub.1123473270,['TZ']
178,pub.1123473277,['ES']
179,pub.1123473299,"['DE', 'VN', 'CI', 'JP', 'BR', 'CN', 'IN']"
180,pub.1123473330,['US']
181,pub.1123473344,[]
182,pub.1123473376,"['RU', 'FJ', 'CO', 'IT']"
183,pub.1123473386,['SE']
184,pub.1123473412,['RU']
185,pub.1123473465,"['UA', 'CA']"
186,pub.1123473518,[]
187,pub.1123473532,['ES']
188,pub.1123473536,"['BD', 'TR']"
189,pub.1123473587,['NG']
190,pub.1123473630,['US']
191,pub.1123473638,"['IR', 'PE']"
192,pub.1123473651,['NG']
193,pub.1123473656,"['CN', 'BJ']"
194,pub.1123473659,[]
195,pub.1123473660,['ID']
196,pub.1123473676,"['HU', 'FI', 'PE', 'SE']"
197,pub.1123473694,[]
198,pub.1123473704,['AE']
199,pub.1123473711,['TH']
200,pub.1123473774,[]
201,pub.1123473779,['KE']
202,pub.1123473789,['US']
203,pub.1123473818,[]
204,pub.1123473827,"['US', 'DE']"
