abstract_id,text,label
pub.1000000010,norfloxacin,GPE
pub.1000000040,Spain,GPE
pub.1000000093,the Western Arctic,LOC
pub.1000000093,the Western Arctic,LOC
pub.1000000093,the Western Arctic,LOC
pub.1000000093,Arctic,LOC
pub.1000000131,Taiwan,GPE
pub.1000000224,Schistosoma,GPE
pub.1000000224,Brazil,GPE
pub.1000000224,Biomphalaria,GPE
pub.1000000224,Biomphalaria,GPE
pub.1000000234,the United States,GPE
pub.1000000244,Germany,GPE
pub.1000000244,US,GPE
pub.1000000244,Afghanistan,GPE
pub.1000000244,Germany,GPE
pub.1000000244,Germany,GPE
pub.1000000244,Serbia,GPE
pub.1000000281,Germany,GPE
pub.1000000281,Denmark,GPE
pub.1000000281,the North Sea,LOC
pub.1000000370,Colorado River,LOC
pub.1000000404,Gyeongnam,GPE
pub.1000000433,US,GPE
pub.1000000518,Northern Africa,LOC
pub.1000000533,Warrenton,GPE
pub.1000000533,Oregon,GPE
pub.1000000533,Columbia River,LOC
pub.1000000533,Columbia River,LOC
pub.1000000533,Columbia River,LOC
pub.1000000533,Columbia River,LOC
pub.1000000533,the Astoria Canyon,LOC
pub.1000000533,Columbia River,LOC
pub.1000000533,Columbia River,LOC
pub.1000000533,Columbia River,LOC
pub.1000000533,73km3,GPE
pub.1000000533,Columbia River,LOC
pub.1000000592,Caribbean,LOC
pub.1000000592,Caribbean,LOC
pub.1000000836,Northern Norway,LOC
pub.1000000920,Greenland,GPE
pub.1000000920,North Atlantic,LOC
pub.1000000920,California,GPE
pub.1000000920,North Pacific,LOC
pub.1000000920,Pacific Ocean,LOC
pub.1000000920,the GRIP Greenland,GPE
pub.1000000920,Atlantic,LOC
pub.1000000951,Ukraine,GPE
pub.1000000951,Ukraine,GPE
pub.1000001063,Mucorales,GPE
pub.1000001079,Switzerland,GPE
pub.1000001079,US,GPE
pub.1000001079,US,GPE
pub.1000001079,US,GPE
pub.1000001079,Switzerland,GPE
pub.1000001079,US,GPE
pub.1000001079,US,GPE
pub.1000001079,Switzerland,GPE
pub.1000001079,US,GPE
pub.1000001082,Auckland,GPE
pub.1000001082,New Zealand,GPE
pub.1000001115,Southeast Asia,LOC
pub.1000001157,Asia,LOC
pub.1000001157,Europe,LOC
pub.1000001157,Europe,LOC
pub.1000001157,Kazakhstan,GPE
pub.1000001208,India,GPE
pub.1000001252,Iran,GPE
pub.1000001360,DC,GPE
pub.1000001391,Japan,GPE
pub.1000001409,UK,GPE
pub.1000001894,Ireland,GPE
pub.1000001894,Ghana,GPE
pub.1000001894,Ghana,GPE
pub.1000001908,Afghanistan,GPE
pub.1000001908,Afghanistan,GPE
pub.1000001919,Hong Kong,GPE
pub.1000001939,wet microalgae,GPE
pub.1000001939,wet microalgae,GPE
pub.1000001958,the United States,GPE
pub.1000001958,nonmelanoma,GPE
pub.1000001958,US,GPE
pub.1000002025,U.S.,GPE
pub.1000002025,U.S.,GPE
pub.1000002025,ammonia,GPE
pub.1000002025,U.S.,GPE
pub.1000002025,U.S.,GPE
pub.1000002025,ammonia,GPE
pub.1000002044,Pakistan,GPE
pub.1000002044,Pakistan,GPE
pub.1000002044,Pakistan,GPE
pub.1000002044,Sindh,GPE
pub.1000002044,Sindh,GPE
pub.1000002044,Pakistan,GPE
pub.1000002044,Pakistan,GPE
pub.1000002071,Sri Lanka,GPE
pub.1000002071,Sri Lankan,GPE
pub.1000002071,Sri Lankan,GPE
pub.1000002097,Kenya,GPE
pub.1000002160,South Africa,GPE
pub.1000002225,DC,GPE
pub.1000002225,DC,GPE
pub.1000002225,DC,GPE
pub.1000002225,DC,GPE
pub.1000002225,DC,GPE
pub.1000002225,DC,GPE
pub.1000002225,DC,GPE
pub.1000002259,Eastern Europe,LOC
pub.1000002259,Central Europe,LOC
pub.1000002259,Central and Eastern Europe,LOC
pub.1000002259,Gentiles,GPE
pub.1000002324,Ghana,GPE
pub.1000002513,US,GPE
pub.1000002513,US,GPE
pub.1000002513,US,GPE
pub.1000002556,Germany,GPE
pub.1000002686,China,GPE
pub.1000002686,China,GPE
pub.1000002686,China,GPE
pub.1000002686,China,GPE
pub.1000002760,Nigeria,GPE
pub.1000002771,Chagas,GPE
pub.1000002907,the Southern Ocean,LOC
pub.1000002907,Southern Ocean,LOC
pub.1000002907,Antarctic,LOC
pub.1000002936,Sierra Leone,GPE
pub.1000002947,Vietnam,GPE
pub.1000002976,Indonesia,GPE
pub.1000002976,US,GPE
pub.1000002987,France,GPE
pub.1000003018,OA,GPE
pub.1000003018,pH,GPE
pub.1000003018,OA,GPE
pub.1000003088,Subvolume,GPE
pub.1000003090,China,GPE
pub.1000003099,Southeast Brazil,GPE
pub.1000003118,Nigeria,GPE
pub.1000003118,Northern,LOC
pub.1000003118,Nigeria,GPE
pub.1000003118,Northern,LOC
pub.1000003134,MS,GPE
pub.1000003162,Germany,GPE
pub.1000003193,non-Caucasian,GPE
pub.1000003193,non-Indigenous,GPE
pub.1000003193,Australia,GPE
pub.1000003193,non-Indigenous,GPE
pub.1000003349,England,GPE
pub.1000003349,Wales,GPE
pub.1000003349,England,GPE
pub.1000003349,Wales,GPE
pub.1000003349,England,GPE
pub.1000003349,Wales,GPE
pub.1000003382,Netherlands,GPE
pub.1000003603,Asia,LOC
pub.1000003603,Asia,LOC
pub.1000003603,Asia,LOC
pub.1000003603,Asia,LOC
pub.1000003698,India,GPE
pub.1000003698,Banni,GPE
pub.1000003698,Banni,GPE
pub.1000003698,Bhunga,GPE
pub.1000003698,Salvadora persica,GPE
pub.1000003815,Preeclampsia,GPE
pub.1000003815,Bangladesh,GPE
pub.1000003815,Dhaka,GPE
pub.1000003844,Israel,GPE
pub.1000003844,Liberia,GPE
pub.1000003844,Iraq,GPE
pub.1000003844,Theatre,GPE
pub.1000003892,New South Wales,GPE
pub.1000003892,Australia,GPE
pub.1000003954,Brazil,GPE
pub.1000003954,Brazil,GPE
pub.1000003988,Gemini,GPE
pub.1000003990,Mumford,GPE
pub.1000003990,P.,GPE
pub.1000003990,Mumford,GPE
pub.1000003990,A.,GPE
pub.1000004016,Northern China,LOC
pub.1000004040,Europe,LOC
pub.1000004106,study-63,LOC
pub.1000004126,Serbia,GPE
pub.1000004126,Yugoslavia,GPE
pub.1000004126,integraciju,GPE
pub.1000004126,takodje,GPE
pub.1000004251,Fermi,GPE
pub.1000004251,Pauli,GPE
pub.1000004540,U.S.,GPE
pub.1000004615,U.S.,GPE
pub.1000004615,U.S.,GPE
pub.1000004615,U.S.,GPE
pub.1000004615,India,GPE
pub.1000004615,U.S.,GPE
pub.1000004615,U.S.,GPE
pub.1000004657,East Riding,GPE
pub.1000004657,Ireland,GPE
pub.1000004657,Scotland,GPE
pub.1000004657,North-East England,LOC
pub.1000004657,Early Industrial Britain,GPE
pub.1000004657,Britain,GPE
pub.1000004657,Theory,GPE
pub.1000004657,Britain,GPE
pub.1000004657,1860–1914.Pamela Horn,GPE
pub.1000004657,Wales,GPE
pub.1000004657,Treue,GPE
pub.1000004657,Italy,GPE
pub.1000004657,Italy,GPE
pub.1000004657,Cimarosa,GPE
pub.1000004657,Impresario,GPE
pub.1000004657,Mass Production,GPE
pub.1000004657,the United States,GPE
pub.1000004657,Mexico,GPE
pub.1000004657,Bengal,GPE
pub.1000004673,China,GPE
pub.1000004673,the Republic of China,GPE
pub.1000004673,ROC,GPE
pub.1000004673,PRC,GPE
pub.1000004673,Taiwan,GPE
pub.1000004673,Taiwan,GPE
pub.1000004673,PRC,GPE
pub.1000004673,China,GPE
pub.1000004748,wt.%,GPE
pub.1000004823,Honduras,GPE
pub.1000004823,America,GPE
pub.1000004823,America,GPE
pub.1000004823,Colombia,GPE
pub.1000004823,Peru,GPE
pub.1000004823,Honduras,GPE
pub.1000004859,North and South America's,GPE
pub.1000004859,Americas,LOC
pub.1000004859,North America,LOC
pub.1000004859,South America,LOC
pub.1000004859,T850 ≥,GPE
pub.1000004859,Americas,LOC
pub.1000004943,hepatomegaly,GPE
pub.1000004954,Japan,GPE
pub.1000005007,China,GPE
pub.1000005007,the Loess Plateau,LOC
pub.1000005013,Jupiter,LOC
pub.1000005013,Jupiter,LOC
pub.1000005013,Jupiter,LOC
pub.1000005013,Jupiter,LOC
pub.1000005082,the Bay of Fundy,LOC
pub.1000005082,colonies,GPE
pub.1000005082,Great Lakes,GPE
pub.1000005119,California,GPE
pub.1000005244,Shandong,GPE
pub.1000005244,China,GPE
pub.1000005244,Shandong,GPE
pub.1000005244,China,GPE
pub.1000005288,Schistosoma,GPE
pub.1000005288,Biomphalaria,GPE
pub.1000005288,Illumina,GPE
pub.1000005324,CP,GPE
pub.1000005324,CP,GPE
pub.1000005359,Australia,GPE
pub.1000005359,Australian Rainfall,GPE
pub.1000005447,Netherlands,GPE
pub.1000005447,Netherlands,GPE
pub.1000005541,Africa,LOC
pub.1000005541,Nile,LOC
pub.1000005558,Germany,GPE
pub.1000005608,H2O,GPE
pub.1000005608,H2O,GPE
pub.1000005608,H2O,GPE
pub.1000005608,H2O,GPE
pub.1000005676,India,GPE
pub.1000005676,India,GPE
pub.1000005676,Gandhinagar,GPE
pub.1000005758,New York,GPE
pub.1000005758,Continuum,GPE
pub.1000005758,Singapore,GPE
pub.1000005765,Cape Town,GPE
pub.1000005765,Cape Town,GPE
pub.1000005862,anesthesia,GPE
pub.1000005978,Cinna,GPE
pub.1000006014,NEC.METHODS,GPE
pub.1000006014,Intestine,GPE
pub.1000006034,Romania,GPE
pub.1000006034,Greece,GPE
pub.1000006034,Germany,GPE
pub.1000006034,Greece,GPE
pub.1000006034,Romania,GPE
pub.1000006034,Romania,GPE
pub.1000006034,Greece,GPE
pub.1000006034,Germany,GPE
pub.1000006034,Greece,GPE
pub.1000006034,Romania,GPE
pub.1000006098,Europe,LOC
pub.1000006098,Russia,GPE
pub.1000006197,U.S.,GPE
pub.1000006256,S. Mean,GPE
pub.1000006311,Modelica,GPE
pub.1000006325,Brazil,GPE
pub.1000006424,Iraq,GPE
pub.1000006424,Afghanistan,GPE
pub.1000006467,Tanzania,GPE
pub.1000006499,U.S,GPE
pub.1000006499,Tokyo Area,GPE
pub.1000006499,Tokyo Bay,LOC
pub.1000006499,Tokyo Bay,LOC
pub.1000006515,Korea,GPE
pub.1000006635,Obama,GPE
pub.1000006635,Henry Louis Gates,LOC
pub.1000006635,the Shirley Sherrod,LOC
pub.1000006735,the United States,GPE
pub.1000006735,Canada,GPE
pub.1000006735,the United Kingdom,GPE
pub.1000006735,France,GPE
pub.1000006735,the United States,GPE
pub.1000006735,the United States,GPE
pub.1000006832,Rossi,GPE
pub.1000006861,Thabo Mbeki,GPE
pub.1000006894,Thailand,GPE
pub.1000006894,Vietnam,GPE
pub.1000006894,Laos,GPE
pub.1000006894,Cambodia,GPE
pub.1000006899,Xinjiang,GPE
pub.1000007073,Philippines,GPE
pub.1000007073,Philippine Sea,LOC
pub.1000007073,the Indian Ocean,LOC
pub.1000007073,Pacific,LOC
pub.1000007073,Indian Ocean,LOC
pub.1000007073,El Niño,GPE
pub.1000007073,Pacific,LOC
pub.1000007074,Subvolume,GPE
pub.1000007184,China,GPE
pub.1000007184,China,GPE
pub.1000007184,China,GPE
pub.1000007184,China,GPE
pub.1000007191,Subvolume,GPE
pub.1000007224,Malaysia,GPE
pub.1000007224,Selangor,GPE
pub.1000007372,Rio de Janeiro,GPE
pub.1000007372,Brazil,GPE
pub.1000007423,New Brunswick,GPE
pub.1000007423,Canada,GPE
pub.1000007558,the North Atlantic basin,LOC
pub.1000007558,Northeast Atlantic,LOC
pub.1000007558,the North Atlantic,LOC
pub.1000007617,Arctic,LOC
pub.1000007617,the Northern Hemisphere,LOC
pub.1000007617,Arctic,LOC
pub.1000007617,Arctic,LOC
pub.1000007637,Obama,GPE
pub.1000007637,Obama,GPE
pub.1000007637,2nd ed.,GPE
pub.1000007637,New York,GPE
pub.1000007637,Obama,GPE
pub.1000007658,Central Asia,LOC
pub.1000007674,the Canadian Arctic,LOC
pub.1000007674,East-West,LOC
pub.1000007674,the Canadian Arctic,LOC
pub.1000007674,Antarctic,LOC
pub.1000007975,Fermi,GPE
pub.1000007992,the United States',GPE
pub.1000007992,the United States,GPE
pub.1000008049,Infliximab,GPE
pub.1000008049,Infliximab,GPE
pub.1000008049,TB,GPE
pub.1000008049,infliximab,GPE
pub.1000008049,infliximab,GPE
pub.1000008119,Minneapolis,GPE
pub.1000008191,the Southern Hemisphere,LOC
pub.1000008191,Antarctica,LOC
pub.1000008208,United States,GPE
pub.1000008208,Canada,GPE
pub.1000008208,Argentina,GPE
pub.1000008208,Chile,GPE
pub.1000008208,Uruguay,GPE
pub.1000008208,US,GPE
pub.1000008208,Uruguay,GPE
pub.1000008208,Canada,GPE
pub.1000008208,Argentina,GPE
pub.1000008208,Chile,GPE
pub.1000008208,Americas,LOC
pub.1000008208,South Asia,LOC
pub.1000008306,Pacific,LOC
pub.1000008323,Brugia,GPE
pub.1000008323,Wolbachia,GPE
pub.1000008323,Brugia,GPE
pub.1000008341,USSR,GPE
pub.1000008353,East Africa,GPE
pub.1000008353,Kenya,GPE
pub.1000008353,Uganda,GPE
pub.1000008470,England,GPE
pub.1000008518,China,GPE
pub.1000008518,China,GPE
pub.1000008614,People's Republic of China,GPE
pub.1000008614,China,GPE
pub.1000008614,China,GPE
pub.1000008614,China,GPE
pub.1000008614,China,GPE
pub.1000008802,Brazil,GPE
pub.1000008804,PV,GPE
pub.1000008804,PV,GPE
pub.1000009062,neoplasia,GPE
pub.1000009065,Europe,LOC
pub.1000009127,Africa,LOC
pub.1000009127,Indian Ocean,LOC
pub.1000009229,South Korea,GPE
pub.1000009229,South Korea,GPE
pub.1000009229,South Korea,GPE
pub.1000009357,Mediterranean,LOC
pub.1000009593,the Middle Paraná River,LOC
pub.1000009593,Eichhornia,GPE
pub.1000009593,Pontederia,GPE
pub.1000009601,Hafnia,GPE
pub.1000009660,Washington Heights,GPE
pub.1000009660,New York,GPE
pub.1000009660,Washington Heights,GPE
pub.1000009660,New York,GPE
pub.1000009739,Porter,GPE
pub.1000009767,the Empire of Japan,GPE
pub.1000009767,Kobe,GPE
pub.1000009767,Japan,GPE
pub.1000009767,Japan,GPE
pub.1000009826,Canada,GPE
